Format:
predicted score, actual score, match id (cricinfo), features

Features Format:
current score, current wickets, current run rate, balls left, run rate in last 30 balls, wickets in last 30 balls, score in last 30 balls,countryId,teamplayingId,teamagainstId,groundid,daynight
114.504768618 103 1050221 [80L, 5L, 0.8, 20, 0.6, 0L, 12L, 7, 12, 7, 15, 1]
154.560042613 161 1072206 [46L, 1L, 1.15, 80, 1.3, 1L, 26L, 7, 6, 8, 16, 0]
143.773056123 161 1072206 [65L, 3L, 1.083, 60, 0.95, 2L, 19L, 7, 6, 8, 16, 0]
134.899724577 161 1072206 [79L, 4L, 0.988, 40, 0.7, 1L, 14L, 7, 6, 8, 16, 0]
143.129049489 161 1072206 [104L, 4L, 1.04, 20, 1.25, 0L, 25L, 7, 6, 8, 16, 0]
182.37979661 179 1072207 [64L, 1L, 1.6, 80, 1.7, 0L, 34L, 7, 8, 6, 14, 0]
176.238921592 179 1072207 [83L, 1L, 1.383, 60, 0.95, 0L, 19L, 7, 8, 6, 14, 0]
164.890580705 179 1072207 [99L, 2L, 1.238, 40, 0.8, 1L, 16L, 7, 8, 6, 14, 0]
168.667500556 179 1072207 [126L, 3L, 1.26, 20, 1.35, 1L, 27L, 7, 8, 6, 14, 0]
173.220409399 189 1072208 [55L, 0L, 1.375, 80, 1.5, 0L, 30L, 7, 6, 8, 16, 0]
189.743949535 189 1072208 [94L, 1L, 1.567, 60, 1.95, 1L, 39L, 7, 6, 8, 16, 0]
184.300436915 189 1072208 [120L, 3L, 1.5, 40, 1.3, 2L, 26L, 7, 6, 8, 16, 0]
193.186371943 189 1072208 [152L, 4L, 1.52, 20, 1.6, 1L, 32L, 7, 6, 8, 16, 0]
